modality,classifier,n_folds,won_folds,mean_stage_a_auroc,K,rank_in_signature,feature,selection_frequency,mean_percentile_rank,mean_importance_magnitude
Clin,ElasticNet_LR,500,236,0.638675749559083,4,1,Clin_ER,1.0,0.9185000000000008,0.8569871102991327
Clin,ElasticNet_LR,500,236,0.638675749559083,4,2,Clin_ANYNODES,1.0,0.8309999999999993,0.6510430527372083
Clin,ElasticNet_LR,500,236,0.638675749559083,4,3,Clin_TUMSIZE,1.0,0.49949999999999994,0.005519653768479236
Clin,ElasticNet_LR,500,236,0.638675749559083,4,4,Clin_prolifvalu,1.0,0.25099999999999995,0.0006700982252446663
Clin,SVM_Linear,500,122,0.5888953262786597,4,1,Clin_ER,1.0,0.9641666666666683,0.9422720650319848
Clin,SVM_Linear,500,122,0.5888953262786597,4,2,Clin_ANYNODES,1.0,0.7721666666666661,0.4924529414541433
Clin,SVM_Linear,500,122,0.5888953262786597,4,3,Clin_prolifvalu,1.0,0.41616666666666624,0.01000400441164963
Clin,SVM_Linear,500,122,0.5888953262786597,4,4,Clin_TUMSIZE,1.0,0.3474999999999999,0.01789565746979504
Clin,RandomForest,500,72,0.5932716931216931,4,1,Clin_prolifvalu,1.0,0.9623333333333346,0.1488292999583778
Clin,RandomForest,500,72,0.5932716931216931,4,2,Clin_ANYNODES,1.0,0.7266666666666669,0.12029450202048945
Clin,RandomForest,500,72,0.5932716931216931,4,3,Clin_ER,1.0,0.5308333333333338,0.09454577875826743
Clin,RandomForest,500,72,0.5932716931216931,4,4,Clin_TUMSIZE,1.0,0.28016666666666656,0.06381833866748556
Clin,HistGradBoost,500,49,0.5846174603174604,4,1,Clin_ER,1.0,0.8463333333333325,0.09081474973281622
Clin,HistGradBoost,500,49,0.5846174603174604,4,2,Clin_ANYNODES,1.0,0.801833333333333,0.08581275815159103
Clin,HistGradBoost,500,49,0.5846174603174604,4,3,Clin_prolifvalu,1.0,0.6018333333333332,0.06255478904393524
Clin,HistGradBoost,500,49,0.5846174603174604,4,4,Clin_TUMSIZE,1.0,0.25,0.0
Clin,ExtraTrees,500,21,0.561883774250441,4,1,Clin_prolifvalu,1.0,0.9918333333333339,0.19520104152439144
Clin,ExtraTrees,500,21,0.561883774250441,4,2,Clin_ANYNODES,1.0,0.7491666666666671,0.15490917082877978
Clin,ExtraTrees,500,21,0.561883774250441,4,3,Clin_ER,1.0,0.42966666666666636,0.10512617113648068
Clin,ExtraTrees,500,21,0.561883774250441,4,4,Clin_TUMSIZE,1.0,0.3293333333333334,0.09447510907762516
RNA,ElasticNet_LR,500,283,0.8067763668430336,5,1,RNA_HER2DX_HER2_amplicon,1.0,0.9986925925925928,0.9991051391268938
RNA,ElasticNet_LR,500,283,0.8067763668430336,5,2,RNA_pik3ca_sig,0.924,0.5670672180953568,0.21265546817456504
RNA,ElasticNet_LR,500,283,0.8067763668430336,5,3,RNA_mRNA-ESR1,0.922,0.535653708186246,0.20115461138347734
RNA,ElasticNet_LR,500,283,0.8067763668430336,5,4,RNA_HER2DX_pCR_likelihood_score,0.91,0.43442099414626933,0.07880432777668013
RNA,ElasticNet_LR,500,283,0.8067763668430336,5,5,RNA_HER2DX_luminal,0.77,0.43686895115466556,0.11027025277917944
RNA,SVM_Linear,500,197,0.8031746031746031,5,1,RNA_HER2DX_HER2_amplicon,1.0,0.9939467504717503,0.9948207160116493
RNA,SVM_Linear,500,197,0.8031746031746031,5,2,RNA_pik3ca_sig,0.904,0.5053730459150819,0.3343057527888553
RNA,SVM_Linear,500,197,0.8031746031746031,5,3,RNA_mRNA-ESR1,0.852,0.49971218791641286,0.2949079861642939
RNA,SVM_Linear,500,197,0.8031746031746031,5,4,RNA_HER2DX_pCR_likelihood_score,0.812,0.41978016054370715,0.22865636642096188
RNA,SVM_Linear,500,197,0.8031746031746031,5,5,RNA_HER2DX_luminal,0.618,0.3963306216137929,0.21410606682037936
RNA,ExtraTrees,500,14,0.7059014991181658,5,1,RNA_HER2DX_HER2_amplicon,1.0,0.998849470899471,0.13344921931047737
RNA,ExtraTrees,500,14,0.7059014991181658,5,2,RNA_HER2DX_pCR_likelihood_score,0.998,0.6504519797355476,0.08621988520464931
RNA,ExtraTrees,500,14,0.7059014991181658,5,3,RNA_mRNA-ESR1,0.928,0.5366313374125875,0.07316440614643242
RNA,ExtraTrees,500,14,0.7059014991181658,5,4,RNA_pik3ca_sig,0.8,0.4166919134106635,0.06869287749874407
RNA,ExtraTrees,500,14,0.7059014991181658,5,5,RNA_HER2DX_luminal,0.776,0.41323918540413407,0.06855069330373549
RNA,RandomForest,500,4,0.6862787477954145,5,1,RNA_HER2DX_HER2_amplicon,1.0,0.99366392958893,0.11521575667738923
RNA,RandomForest,500,4,0.6862787477954145,5,2,RNA_HER2DX_pCR_likelihood_score,0.976,0.5225318293197393,0.05748068247571995
RNA,RandomForest,500,4,0.6862787477954145,5,3,RNA_HER2DX_luminal,0.876,0.5266713710777644,0.05462050298684246
RNA,RandomForest,500,4,0.6862787477954145,5,4,RNA_pik3ca_sig,0.828,0.4710092108642834,0.05132787123675412
RNA,RandomForest,500,4,0.6862787477954145,5,5,RNA_mRNA-ESR1,0.814,0.4732508800690619,0.052122966152194826
RNA,HistGradBoost,500,2,0.6502683421516755,5,1,RNA_HER2DX_HER2_amplicon,1.0,0.9692188663188672,0.18970366643512473
RNA,HistGradBoost,500,2,0.6502683421516755,5,2,RNA_mRNA-ESR1,0.932,0.5693339197362807,0.09605531787141373
RNA,HistGradBoost,500,2,0.6502683421516755,5,3,RNA_HER2DX_pCR_likelihood_score,0.93,0.5188383142146584,0.08611776609915434
RNA,HistGradBoost,500,2,0.6502683421516755,5,4,RNA_HER2DX_luminal,0.882,0.5189584728700373,0.08464595425497873
RNA,HistGradBoost,500,2,0.6502683421516755,5,5,RNA_pik3ca_sig,0.798,0.4266676201826579,0.06862641248324454
DNA,SVM_Linear,500,125,0.6649920634920636,5,1,DNA_ERBB2_CNA,0.956,0.6348939182621195,0.6276622199779545
DNA,SVM_Linear,500,125,0.6649920634920636,5,2,DNA_COSMIC.Signature.13,0.846,0.5825157779353997,0.5935364781238605
DNA,SVM_Linear,500,125,0.6649920634920636,5,3,DNA_coding_mutation_TP53,0.768,0.514544977110082,0.5331186741107454
DNA,SVM_Linear,500,125,0.6649920634920636,5,4,DNA_coding_mutation_TP53_oncokb,0.764,0.5062401555202605,0.5584923936865955
DNA,SVM_Linear,500,125,0.6649920634920636,5,5,DNA_COSMIC.Signature.6,0.664,0.4511275022946715,0.45386914617674073
DNA,RandomForest,500,114,0.6575601410934744,5,1,DNA_ERBB2_CNA,0.98,0.7687683669316346,0.09121564618468922
DNA,RandomForest,500,114,0.6575601410934744,5,2,DNA_COSMIC.Signature.13,0.894,0.6218269436669889,0.06913793611378623
DNA,RandomForest,500,114,0.6575601410934744,5,3,DNA_COSMIC.Signature.6,0.694,0.45173809939660114,0.050786242184445336
DNA,RandomForest,500,114,0.6575601410934744,5,4,DNA_COSMIC.Signature.2,0.536,0.41299189340234116,0.04442412043443913
DNA,RandomForest,500,114,0.6575601410934744,5,5,DNA_LOH_Del_burden,0.52,0.4028908413523797,0.04612321553252754
DNA,ExtraTrees,500,97,0.6476232804232804,5,1,DNA_ERBB2_CNA,0.98,0.7727959068520315,0.118081436182925
DNA,ExtraTrees,500,97,0.6476232804232804,5,2,DNA_COSMIC.Signature.13,0.958,0.6805683993575448,0.09899416669757047
DNA,ExtraTrees,500,97,0.6476232804232804,5,3,DNA_COSMIC.Signature.6,0.692,0.4357079764594218,0.0681700833888075
DNA,ExtraTrees,500,97,0.6476232804232804,5,4,DNA_COSMIC.Signature.2,0.514,0.3815728478179843,0.059980386559927025
DNA,ExtraTrees,500,97,0.6476232804232804,5,5,DNA_LOH_Del_burden,0.498,0.36727252741308974,0.0622760929359103
DNA,ElasticNet_LR,500,84,0.6586013227513228,5,1,DNA_ERBB2_CNA,0.96,0.6451042456771633,0.6057054097235519
DNA,ElasticNet_LR,500,84,0.6586013227513228,5,2,DNA_COSMIC.Signature.13,0.894,0.657011570126783,0.64268834204931
DNA,ElasticNet_LR,500,84,0.6586013227513228,5,3,DNA_coding_mutation_TP53_oncokb,0.76,0.4586015714305188,0.3808158499797416
DNA,ElasticNet_LR,500,84,0.6586013227513228,5,4,DNA_coding_mutation_TP53,0.696,0.4467528055171736,0.38529640307937196
DNA,ElasticNet_LR,500,84,0.6586013227513228,5,5,DNA_COSMIC.Signature.6,0.586,0.4178758322956275,0.3219722890309162
DNA,HistGradBoost,500,80,0.6434904761904762,5,1,DNA_ERBB2_CNA,0.964,0.765823624277983,0.12025782509856592
DNA,HistGradBoost,500,80,0.6434904761904762,5,2,DNA_COSMIC.Signature.13,0.91,0.6400179338366159,0.10508808125307564
DNA,HistGradBoost,500,80,0.6434904761904762,5,3,DNA_COSMIC.Signature.6,0.692,0.43310836027599087,0.06938715278797343
DNA,HistGradBoost,500,80,0.6434904761904762,5,4,DNA_coding_mutation_TP53,0.6,0.37681885706885726,0.03571050257097005
DNA,HistGradBoost,500,80,0.6434904761904762,5,5,DNA_COSMIC.Signature.2,0.522,0.38279379198919433,0.05934458362496441
Prot,SVM_Linear,500,261,0.8347046737213405,5,1,Prot_ERBB2_PG,1.0,0.9570521996522006,0.9562941604866851
Prot,SVM_Linear,500,261,0.8347046737213405,5,2,Prot_MIEN1,0.846,0.5601618218048474,0.2765057968622661
Prot,SVM_Linear,500,261,0.8347046737213405,5,3,Prot_RPL19,0.744,0.5655147371545223,0.3441874277809167
Prot,SVM_Linear,500,261,0.8347046737213405,5,4,Prot_ERBB2,0.714,0.5172905266742801,0.25712507082706115
Prot,SVM_Linear,500,261,0.8347046737213405,5,5,Prot_CDK12,0.64,0.5767206664862916,0.36763425125286375
Prot,RandomForest,500,133,0.8191629629629629,5,1,Prot_HER2_amplicon,1.0,0.7502656288156293,0.0656798829391253
Prot,RandomForest,500,133,0.8191629629629629,5,2,Prot_MIEN1,0.984,0.7620124417888648,0.06801819483014575
Prot,RandomForest,500,133,0.8191629629629629,5,3,Prot_ERBB2_PG,0.912,0.6312530184240712,0.06053133172025662
Prot,RandomForest,500,133,0.8191629629629629,5,4,Prot_ERBB2,0.738,0.5247383425567715,0.05208199074257218
Prot,RandomForest,500,133,0.8191629629629629,5,5,Prot_RPL19,0.686,0.5547887999054181,0.050770571292848246
Prot,ExtraTrees,500,63,0.8049592592592593,5,1,Prot_ERBB2_PG,1.0,0.9746795741295751,0.13032079881280823
Prot,ExtraTrees,500,63,0.8049592592592593,5,2,Prot_HER2_amplicon,0.998,0.6969491578710019,0.07505697281625945
Prot,ExtraTrees,500,63,0.8049592592592593,5,3,Prot_MIEN1,0.99,0.7012837218897825,0.07696382422252607
Prot,ExtraTrees,500,63,0.8049592592592593,5,4,Prot_ERBB2,0.87,0.5025461575461574,0.06353933574683414
Prot,ExtraTrees,500,63,0.8049592592592593,5,5,Prot_RPL19,0.538,0.46565466063607336,0.05603588912002602
