modality,classifier,n_folds,won_folds,mean_stage_a_auroc,K,rank_in_signature,feature,selection_frequency,mean_percentile_rank,mean_importance_magnitude
RNA,ElasticNet_LR,500,269,0.7580987623487624,5,1,RNA_HER2DX_HER2_amplicon,1.0,0.9804283923592758,0.9709057219716393
RNA,ElasticNet_LR,500,269,0.7580987623487624,5,2,RNA_HER2DX_pCR_likelihood_score,0.998,0.6141726311890063,0.24705840812617036
RNA,ElasticNet_LR,500,269,0.7580987623487624,5,3,RNA_HER2DX_luminal,0.74,0.4418995780876593,0.15920708666943387
RNA,ElasticNet_LR,500,269,0.7580987623487624,5,4,RNA_mRNA-ESR1,0.54,0.41867698719822904,0.19097745575534733
RNA,ElasticNet_LR,500,269,0.7580987623487624,5,5,RNA_pik3ca_sig,0.442,0.401421735986346,0.14111501001180865
RNA,SVM_Linear,500,198,0.753059065934066,5,1,RNA_HER2DX_HER2_amplicon,1.0,0.9632092701416244,0.9651706396657503
RNA,SVM_Linear,500,198,0.753059065934066,5,2,RNA_HER2DX_pCR_likelihood_score,0.76,0.41761595429205794,0.2773282696635738
RNA,SVM_Linear,500,198,0.753059065934066,5,3,RNA_HER2DX_luminal,0.742,0.47766645069949226,0.3610633560234981
RNA,SVM_Linear,500,198,0.753059065934066,5,4,RNA_mRNA-ESR1,0.64,0.46639120150306806,0.352744124681195
RNA,SVM_Linear,500,198,0.753059065934066,5,5,RNA_pik3ca_sig,0.348,0.40462903307106185,0.2942879695484059
RNA,ExtraTrees,500,22,0.6865546675546675,5,1,RNA_HER2DX_HER2_amplicon,1.0,0.9719962925962935,0.12892176124032914
RNA,ExtraTrees,500,22,0.6865546675546675,5,2,RNA_HER2DX_pCR_likelihood_score,0.998,0.6524025679778266,0.08259802130546985
RNA,ExtraTrees,500,22,0.6865546675546675,5,3,RNA_HER2DX_luminal,0.66,0.410937910145311,0.05885679040007624
RNA,ExtraTrees,500,22,0.6865546675546675,5,4,RNA_mRNA-ESR1,0.598,0.4448085648468502,0.05760281470265823
RNA,ExtraTrees,500,22,0.6865546675546675,5,5,RNA_mRNA-PGR,0.404,0.41279365813605945,0.04500599623371363
RNA,RandomForest,500,7,0.6819478160728161,5,1,RNA_HER2DX_HER2_amplicon,1.0,0.9347979725067976,0.10586670150333537
RNA,RandomForest,500,7,0.6819478160728161,5,2,RNA_HER2DX_pCR_likelihood_score,0.988,0.5908486892169461,0.06045394690493891
RNA,RandomForest,500,7,0.6819478160728161,5,3,RNA_HER2DX_luminal,0.664,0.450326557164888,0.045693410594922136
RNA,RandomForest,500,7,0.6819478160728161,5,4,RNA_mRNA-ESR1,0.532,0.4272266788161301,0.043525220845757294
RNA,RandomForest,500,7,0.6819478160728161,5,5,RNA_mRNA-PGR,0.4,0.43469890536973077,0.03827596513501567
RNA,HistGradBoost,500,4,0.6713084554334555,5,1,RNA_HER2DX_HER2_amplicon,1.0,0.8966166698139628,0.1651647252709321
RNA,HistGradBoost,500,4,0.6713084554334555,5,2,RNA_HER2DX_pCR_likelihood_score,0.844,0.5121214611538175,0.07344560929396172
RNA,HistGradBoost,500,4,0.6713084554334555,5,3,RNA_HER2DX_luminal,0.694,0.4757609072562003,0.06923245459172106
RNA,HistGradBoost,500,4,0.6713084554334555,5,4,RNA_mRNA-ESR1,0.666,0.4691510143565525,0.07167465473500297
RNA,HistGradBoost,500,4,0.6713084554334555,5,5,RNA_Th2 cells,0.39,0.4436341769494504,0.06286131474691856
