modality,classifier,n_folds,won_folds,mean_stage_a_auroc,K,rank_in_signature,feature,selection_frequency,mean_percentile_rank,mean_importance_magnitude
RNA,SVM_Linear,500,222,0.7668809523809524,5,1,RNA_ADC_trafficking,0.854,0.6321549048840394,0.6319372565911183
RNA,SVM_Linear,500,222,0.7668809523809524,5,2,RNA_FCGR3B,0.796,0.6574034585894383,0.6581299838155926
RNA,SVM_Linear,500,222,0.7668809523809524,5,3,RNA_mRNA-ESR1,0.732,0.5282514782137296,0.5277722595280117
RNA,SVM_Linear,500,222,0.7668809523809524,5,4,RNA_Exosome,0.708,0.5564188555527041,0.553948091029431
RNA,SVM_Linear,500,222,0.7668809523809524,5,5,RNA_Mast-cells,0.706,0.5886913457289883,0.5860651782193553
RNA,RandomForest,500,107,0.7515377455877456,5,1,RNA_Exosome,0.968,0.7276398092468225,0.07259037798779239
RNA,RandomForest,500,107,0.7515377455877456,5,2,RNA_mRNA-ESR1,0.938,0.6085838533048522,0.05858629218567469
RNA,RandomForest,500,107,0.7515377455877456,5,3,RNA_ADC_trafficking,0.826,0.5943924608576323,0.05485056864016075
RNA,RandomForest,500,107,0.7515377455877456,5,4,RNA_FCGR3B,0.688,0.5875718381990207,0.05406594390432392
RNA,RandomForest,500,107,0.7515377455877456,5,5,RNA_Mast-cells,0.618,0.540754034129248,0.0506674604650798
RNA,ExtraTrees,500,78,0.744714602064602,5,1,RNA_mRNA-ESR1,0.938,0.6351846060665952,0.07025204324279745
RNA,ExtraTrees,500,78,0.744714602064602,5,2,RNA_ADC_trafficking,0.862,0.6344886875184874,0.0652330075225111
RNA,ExtraTrees,500,78,0.744714602064602,5,3,RNA_Exosome,0.81,0.6033333443677247,0.06907277244981555
RNA,ExtraTrees,500,78,0.744714602064602,5,4,RNA_FCGR3B,0.702,0.58546414555396,0.0621448157197436
RNA,ExtraTrees,500,78,0.744714602064602,5,5,RNA_Mast-cells,0.694,0.5818040963907571,0.06167965886491211
RNA,HistGradBoost,500,50,0.7266456543456544,5,1,RNA_Exosome,0.946,0.7194314008985041,0.12393501024274307
RNA,HistGradBoost,500,50,0.7266456543456544,5,2,RNA_FCGR3B,0.772,0.6251987583811358,0.10686624225442444
RNA,HistGradBoost,500,50,0.7266456543456544,5,3,RNA_mRNA-ESR1,0.732,0.5479183030587,0.08507126149486854
RNA,HistGradBoost,500,50,0.7266456543456544,5,4,RNA_ADC_trafficking,0.676,0.5284604177381991,0.08023397085952931
RNA,HistGradBoost,500,50,0.7266456543456544,5,5,RNA_Mast-cells,0.602,0.5396897909208529,0.08506201270469226
RNA,ElasticNet_LR,500,43,0.7414597402597404,5,1,RNA_mRNA-ESR1,0.952,0.6666503435420758,0.5440076841440115
RNA,ElasticNet_LR,500,43,0.7414597402597404,5,2,RNA_ADC_trafficking,0.884,0.6487029329996143,0.5468256431069567
RNA,ElasticNet_LR,500,43,0.7414597402597404,5,3,RNA_FCGR3B,0.79,0.6358613813210745,0.5329169558586888
RNA,ElasticNet_LR,500,43,0.7414597402597404,5,4,RNA_Exosome,0.654,0.5456229460411864,0.3933542612122171
RNA,ElasticNet_LR,500,43,0.7414597402597404,5,5,RNA_Mast-cells,0.638,0.5497780558865408,0.39324646289457627
